AREA_ID,AREA_SHORT_CODE,AREA_NAME
2482435,009-01,Riverside District
2482434,041-03,Regal Heights Village
2482433,084-00,Queen Street West
2482432,006-00,Parkdale Village
2482431,024-00,Pape Village
2482430,049-03,Little Portugal On Dundas
2482429,020-01,Little Italy
2482428,042-01,Liberty Village
2482427,093-01,Leslieville
2482426,094-03,Lawrence Ingram Keele
2482425,063-02,Bayview Leaside
2482424,033-00,Kennedy Road
2482423,031-02,Bloor-Yorkville
2482422,002-00,Lakeshore Village
2482421,057-00,Korea Town
2482420,079-01,Kensington Market
2482470,087-00,Ossington Avenue
2482419,070-00,Historic Queen East
2482418,014-00,Hillcrest Village
2482417,021-00,Harbord Street
2482416,025-00,Greektown on the Danforth
2482469,082-00,Oakwood Village
2482468,081-00,Mount Pleasant Village
2482467,036-04,Mount Dennis
2482415,011-02,Gerrard India Bazaar
2482414,007-03,Forest Hill Village
2482413,091-00,Financial District
2482412,010-02,Fairbank Village
2482466,061-00,Mirvish Village
2482465,037-02,Mimico Village
2482464,022-03,Mimico By The Lake
2482463,107-00,Midtown Yonge
2482411,046-08,Emery Village
2482410,066-00,Eglinton Hill
2482409,086-03,Dupont by the Castle
2482408,043-00,Church-Wellesley Village
2482407,095-02,DuKe Heights
2482406,039-00,Downtown Yonge
2482405,017-00,Dovercourt Village
2482404,054-00,Danforth Village
2482462,105-00,MarkeTO District
2482461,029-00,Long Branch
2482460,051-09,shoptheQueensway.com
2482459,010-02,York-Eglinton
2482403,075-00,Danforth Mosaic
2482402,102-01,College West
2482401,080-00,Crossroads of the Danforth
2482458,040-00,Yonge Lawrence Village
2482457,118-00,Yonge & St. Clair
2482456,044-00,Wychwood Heights
2482400,016-00,Corso Italia
2482399,059-00,College Promenade
2482398,109-01,CityPlace and Fort York
2482397,065-00,Chinatown
2482455,101-01,Wilson Village
2482454,122-00,Willowdale
2482453,052-00,Wexford Heights
2482452,004-00,Weston Village
2482396,012-02,Cabbagetown
2482395,027-00,Broadview Danforth
2482451,055-00,West Queen West
2482450,026-01,Village of Islington
2482394,005-00,Bloordale Village
2482393,001-01,Junction Gardens
2482392,023-00,Bloor West Village
2482391,008-00,Bloorcourt Village
2482390,030-00,Bloor By The Park
2482449,060-01,Uptown Yonge
2482448,015-00,Upper Village
2482447,076-01,Trinity-Bellwoods
2482389,062-01,Albion Islington Square
2482388,085-02,Baby Point Gates
2482387,064-00,Bloor Street
2482386,034-00,Bloor Annex
2482446,074-06,Toronto Entertainment District
2482445,058-10,The Waterfront
2482444,003-00,The Kingsway
2482443,028-00,The Eglinton Way
2482442,053-00,The Beach
2482441,018-05,St. Lawrence Market Neighbourhood
2482440,019-02,St. Clair Gardens
2482439,067-00,Sheppard East Village
2482438,038-03,Rosedale Main Street
2482437,032-02,Roncesvalles Village
2482436,115-00,Rogers Road
